polling_station_code,center_code,center_name,center_display,bureau_code,registered,segment
BONOUA-020-BV03,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV03,374,COMMUNE
BONOUA-020-BV04,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV04,373,COMMUNE
BONOUA-021-BV01,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV01,433,COMMUNE
BONOUA-021-BV02,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV02,433,COMMUNE
BONOUA-021-BV03,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV03,432,COMMUNE
BONOUA-021-BV04,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV04,432,COMMUNE
BONOUA-022-BV01,022,EPP JEAN-BAPTISTE OTRON,022 - EPP JEAN-BAPTISTE OTRON,BV01,387,COMMUNE
BONOUA-023-BV01,023,COLLEGE MODERNE YAOU BONOUA,023 - COLLEGE MODERNE YAOU BONOUA,BV01,149,COMMUNE
BONOUA-024-BV01,024,EPP EKRA MATHIEU DE TCHANCTHEVE,024 - EPP EKRA MATHIEU DE TCHANCTHEVE,BV01,57,COMMUNE
BONOUA-025-BV01,025,COLLEGE PRIVE ELEPHANT,025 - COLLEGE PRIVE ELEPHANT,BV01,263,COMMUNE
BONOUA-025-BV02,025,COLLEGE PRIVE ELEPHANT,025 - COLLEGE PRIVE ELEPHANT,BV02,262,COMMUNE
BONOUA-SP-001-BV01,SP-001,EPP ABROBAKRO,SP-001 - EPP ABROBAKRO,BV01,268,SOUS_PREFECTURE
BONOUA-SP-002-BV01,SP-002,EPP ALLOHORE,SP-002 - EPP ALLOHORE,BV01,187,SOUS_PREFECTURE
BONOUA-SP-003-BV01,SP-003,EPP ASSE,SP-003 - EPP ASSE,BV01,411,SOUS_PREFECTURE
BONOUA-SP-003-BV02,SP-003,EPP ASSE,SP-003 - EPP ASSE,BV02,411,SOUS_PREFECTURE
BONOUA-SP-003-BV03,SP-003,EPP ASSE,SP-003 - EPP ASSE,BV03,410,SOUS_PREFECTURE
BONOUA-SP-004-BV01,SP-004,EPP SODEPALME,SP-004 - EPP SODEPALME,BV01,423,SOUS_PREFECTURE
BONOUA-SP-005-BV01,SP-005,EPP LARABIA,SP-005 - EPP LARABIA,BV01,333,SOUS_PREFECTURE
BONOUA-SP-005-BV02,SP-005,EPP LARABIA,SP-005 - EPP LARABIA,BV02,333,SOUS_PREFECTURE
BONOUA-SP-005-BV03,SP-005,EPP LARABIA,SP-005 - EPP LARABIA,BV03,332,SOUS_PREFECTURE
BONOUA-SP-006-BV01,SP-006,EPP MEDINA,SP-006 - EPP MEDINA,BV01,307,SOUS_PREFECTURE
BONOUA-SP-006-BV02,SP-006,EPP MEDINA,SP-006 - EPP MEDINA,BV02,307,SOUS_PREFECTURE
BONOUA-SP-007-BV01,SP-007,EPP MOHAME,SP-007 - EPP MOHAME,BV01,383,SOUS_PREFECTURE
BONOUA-SP-008-BV01,SP-008,PLACE PUBLIQUE ONO BORD,SP-008 - PLACE PUBLIQUE ONO BORD,BV01,84,SOUS_PREFECTURE
BONOUA-SP-009-BV01,SP-009,EPP ADAMAKRO,SP-009 - EPP ADAMAKRO,BV01,55,SOUS_PREFECTURE
